Extract_GALa_Crop_Flw_M,Plot
19.460172335,541
16.984147231,542
14.179703712,543
18.381315867,544
26.858613756,545
24.02311643,546
25.427122964,547
26.390150706,548
25.111147139,549
26.583841748,550
25.671731949,551
25.519088745,552
25.677897135,553
27.085149977,554
26.129107793,555
23.44115003,556
23.526639938,557
24.952767266,558
25.475196203,559
24.797984229,560
23.684817844,561
20.937166426,562
17.727777057,563
17.726123174,564
17.560730192,565
21.207268397,566
23.439982096,567
20.62939877,568
17.734404882,569
14.925450484,570
19.063816494,571
20.372320599,572
19.380480025,573
16.619659742,574
14.3858579,575
18.705712001,576
23.300190396,577
21.441312154,578
26.15009986,579
27.116652171,580
25.610193676,581
26.938905716,582
26.142995834,583
25.699165768,584
25.247768614,585
25.958115048,586
26.057183584,587
23.609430313,588
24.193028132,589
25.812351227,590
26.188972261,591
25.297228283,592
24.184162988,593
21.928111394,594
17.905311796,595
18.380079269,596
18.222590976,597
21.315014945,598
23.138670603,599
21.183102502,600
17.851533042,601
15.355625947,602
18.984132767,603
20.050898022,604
19.291749318,605
16.979610019,606
15.102010939,607
18.991254383,608
15.727757348,609
17.493046867,610
26.968883091,611
28.464069366,612
26.343474282,613
26.548042933,614
26.629302025,615
26.16125785,616
24.975934982,617
25.169904073,618
25.633605109,619
23.889210807,620
25.111788432,621
26.580789566,622
26.875459671,623
25.721023136,624
24.553141276,625
23.343392478,626
17.701868905,627
18.790998777,628
19.316735586,629
21.902194341,630
23.370960236,631
21.545573341,632
18.203991784,633
16.979354223,634
19.837667677,635
19.632476383,636
18.96058019,637
18.088346057,638
16.948015531,639
19.980476591,640
12.772116343,641
11.836704572,642
24.573149787,643
29.047780355,644
26.004929437,645
25.75770039,646
26.424452464,647
26.224288517,648
24.600166745,649
24.596140967,650
24.994734658,651
24.120080312,652
25.694216092,653
26.703995811,654
27.162158118,655
26.237773471,656
25.039528317,657
24.458925459,658
18.394172245,659
19.614166578,660
19.908407847,661
22.049494637,662
23.195783827,663
22.208685345,664
19.397158729,665
19.297274907,666
20.650378545,667
19.13152504,668
18.622762044,669
19.291214837,670
19.071438895,671
21.76628134,672
17.329272376,673
13.318020662,674
21.081157684,675
28.746212853,676
25.260626687,677
25.564463933,678
25.749420802,679
25.717574437,680
24.219800525,681
24.915955438,682
25.543273502,683
24.445883221,684
25.678300858,685
26.303133647,686
26.781286452,687
26.092100991,688
24.646365907,689
24.419511795,690
19.83033371,691
21.007506053,692
21.688287099,693
22.748110665,694
23.146573173,695
22.437094371,696
20.63306978,697
20.91500028,698
20.708089828,699
18.462019179,700
18.571346495,701
20.093287574,702
20.177219179,703
23.012439304,704
20.019043816,705
16.743976169,706
21.698384497,707
27.800888485,708
25.695760091,709
26.394971212,710
25.011826197,711
25.300068749,712
24.840804206,713
25.848127153,714
26.409715652,715
24.775084813,716
24.674014727,717
25.362961875,718
26.57172309,719
25.879221386,720
24.074110031,721
24.036514282,722
22.24606408,723
22.615188917,724
23.227548175,725
23.431986067,726
23.561616262,727
22.53695488,728
20.973136478,729
20.7148784,730
19.956734551,731
17.845235401,732
18.431358125,733
20.118721008,734
19.926116308,735
22.665251626,736
17.772860845,737
17.197767893,738
21.541843414,739
26.741511345,740
25.507470449,741
26.57040596,742
24.325447559,743
24.950302124,744
25.883692106,745
25.897962252,746
26.284820557,747
25.231704394,748
24.476525307,749
24.956652959,750
26.135528882,751
25.808298111,752
24.246932666,753
23.935989062,754
24.220061302,755
24.148269176,756
23.238538742,757
23.511167208,758
23.712903341,759
22.989995321,760
20.92115434,761
20.874008179,762
20.03973484,763
18.095617294,764
18.585237185,765
21.24865373,766
20.072266579,767
21.578525225,768
22.882730696,769
19.607944065,770
21.678678407,771
25.967644797,772
25.333839205,773
26.650946299,774
24.328215599,775
24.472831938,776
26.144269307,777
25.412121879,778
25.742990282,779
25.189515856,780
24.182190259,781
24.35879665,782
25.468680276,783
25.710001204,784
24.318904453,785
23.311719259,786
24.966904958,787
25.232224147,788
22.760990991,789
22.899690628,790
23.476619509,791
23.501771291,792
21.037858539,793
21.904156685,794
20.97284317,795
19.003170861,796
19.237418281,797
22.820062425,798
20.406528049,799
20.126138475,800
21.258166843,801
19.461339315,802
21.58109347,803
24.975121816,804
25.357884513,805
26.541051865,806
24.834381421,807
24.238081826,808
25.564373864,809
25.126551734,810
25.680482652,811
24.789605882,812
23.703229904,813
23.519131978,814
24.785302268,815
25.722419951,816
24.565069834,817
22.964823405,818
24.458308962,819
25.515729904,820
22.869780646,821
22.542562909,822
22.633631812,823
23.309771432,824
21.453424242,825
22.972667376,826
21.974067264,827
20.231593874,828
20.170348909,829
22.824709786,830
19.99734815,831
18.928086599,832
17.720480495,833
17.41546864,834
21.142235862,835
23.289510303,836
24.419309192,837
25.686161253,838
24.990629196,839
24.252017551,840
24.4051022,841
24.909774144,842
24.757859548,843
24.204470105,844
23.830984116,845
23.012183931,846
24.477799522,847
26.029852125,848
24.914636188,849
23.224971559,850
23.641040802,851
25.163068136,852
22.480244107,853
22.342672984,854
21.280766593,855
21.77964486,856
21.768309699,857
23.690380414,858
22.150475184,859
22.050275167,860
21.249598609,861
21.266916063,862
19.106192059,863
18.521421009,864
18.677360747,865
15.838225153,866
19.438639641,867
21.218616486,868
23.418405957,869
24.106078254,870
24.687068939,871
23.738798565,872
23.583520465,873
24.216309865,874
25.156984117,875
24.460566839,876
23.583240191,877
22.164111879,878
24.845620897,879
26.653876411,880
24.143251207,881
22.354120466,882
23.534778595,883
25.112346013,884
21.327358034,885
21.318197038,886
19.731134415,887
20.518240611,888
21.741221958,889
23.610994975,890
21.949455897,891
22.747954898,892
21.256677204,893
19.81942749,894
17.782458411,895
16.556620174,896
18.868215561,897
13.932572418,898
16.576603995,899
19.999861399,900
23.84780248,901
22.276354472,902
24.497183482,903
22.619627423,904
23.402634939,905
22.936582989,906
24.265632629,907
23.645906236,908
22.674265862,909
21.071848763,910
24.311054018,911
25.604660882,912
21.48529413,913
21.068238576,914
22.889032576,915
24.648422877,916
20.106306712,917
19.579592175,918
19.170734829,919
20.21993298,920
20.929502275,921
22.920631409,922
21.073334164,923
21.315160539,924
19.78816096,925
18.850462384,926
16.133552127,927
12.321660254,928
20.19708252,929
13.171546221,930
13.722756465,931
18.532836596,932
22.480637232,933
20.342478116,934
23.880445004,935
21.016606013,936
22.012937228,937
20.889545441,938
22.028684616,939
21.05224069,940
20.819376945,941
19.770636241,942
22.278218905,943
23.300673167,944
19.393238703,945
19.902193387,946
21.367635091,947
23.414264202,948
19.406235695,949
18.304140091,950
18.596337954,951
19.349363009,952
19.132017771,953
20.770183563,954
19.240415255,955
19.237533569,956
18.080798467,957
17.74894015,958
14.998836676,959
10.361149311,960
21.35202535,961
13.012801064,962
9.389128129,963
15.107019213,964
17.96874449,965
16.316274643,966
19.477966626,967
17.552865876,968
18.494352553,969
17.225737996,970
17.226685418,971
16.707229932,972
17.499617259,973
16.847821236,974
17.550558514,975
18.54627694,976
17.680229187,977
18.0046143,978
18.552500195,979
19.886352857,980
17.849860085,981
17.167439567,982
16.613354789,983
16.687960943,984
16.325405651,985
15.880725225,986
16.413144006,987
16.791009267,988
16.590968556,989
15.132012473,990
13.404474152,991
11.230784204,992
19.569761806,993
12.159239663,994
8.63737011,995
12.373847432,996
15.288504601,997
14.9415937,998
16.896544139,999
17.781073782,1000
21.049883737,1001
18.681681951,1002
20.433314217,1003
16.919263416,1004
18.167485714,1005
17.542175505,1006
16.288088057,1007
18.187669754,1008
19.354290644,1009
19.610613187,1010
18.56737868,1011
20.462340991,1012
19.786763721,1013
21.300212648,1014
18.497096062,1015
19.242122862,1016
17.166249593,1017
17.147178968,1018
15.325345357,1019
19.566529804,1020
18.296576924,1021
15.837474293,1022
13.14094607,1023
14.129212485,1024
17.420985752,1025
12.484481388,1026
11.860027737,1027
13.391510857,1028
17.136523353,1029
22.019535065,1030
23.569967906,1031
23.538179398,1032
23.402551015,1033
23.197048823,1034
23.915859858,1035
23.464026133,1036
22.574424108,1037
21.85339419,1038
21.430863486,1039
22.778452979,1040
23.498044968,1041
23.01342837,1042
22.597838296,1043
22.793864568,1044
23.535345078,1045
23.675314162,1046
23.020149019,1047
22.613940345,1048
22.281524446,1049
21.659987768,1050
21.523852666,1051
22.901732975,1052
22.720043394,1053
19.475913154,1054
14.258085357,1055
11.443881565,1056
16.308929549,1057
11.728811582,1058
16.770855374,1059
20.395529429,1060
23.082734426,1061
24.200329251,1062
21.322465579,1063
24.750754886,1064
24.676506254,1065
24.012776057,1066
24.571396298,1067
24.893605974,1068
24.133103689,1069
22.766510646,1070
22.725108465,1071
23.144358105,1072
23.37618192,1073
22.64579116,1074
22.454729716,1075
21.124905904,1076
21.176432927,1077
21.197607676,1078
20.597310384,1079
20.217993418,1080
20.119588004,1081
20.886770248,1082
21.969863044,1083
20.832269245,1084
18.50344997,1085
16.125614166,1086
13.049622536,1087
11.989528868,1088
12.265267266,1089
9.269946688,1090
22.483537462,1091
27.108026928,1092
27.332347658,1093
26.415857527,1094
25.461589495,1095
26.443459193,1096
26.947924296,1097
26.756601757,1098
26.831276364,1099
26.192447662,1100
25.310143471,1101
24.715391795,1102
24.099219004,1103
25.292628394,1104
26.670472039,1105
25.495591482,1106
23.719919629,1107
23.197041194,1108
23.02193345,1109
22.645411174,1110
20.484651777,1111
20.434680727,1112
21.65811793,1113
21.839357376,1114
21.120457331,1115
19.64648268,1116
17.307980431,1117
14.668069734,1118
12.299451404,1119
11.275433116,1120
