Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Crop Flw(M)(lb/s),Speed(mph),Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-93.52984100,44.07687880,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,48,14.99,4.692,1.000,271.00,1142.1,On,10/14/2022,0.00,4,20.48,19.41,3.446,1247.8,12019,11311,214.63,201.98,5.813,10/14/2022
-93.52985890,44.07687830,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,49,14.99,4.724,1.000,268.00,1142.1,On,10/14/2022,0.00,4,20.43,18.33,3.406,1178.4,11273,10615,201.29,189.55,5.854,10/14/2022
-93.52987710,44.07687790,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,50,14.99,4.790,1.000,268.00,1142.1,On,10/14/2022,0.00,4,20.39,17.68,3.090,1136.5,10723,10103,191.48,180.41,5.935,10/14/2022
-93.52989540,44.07687780,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,51,14.99,4.790,1.000,269.00,1141.9,On,10/14/2022,0.00,4,20.37,17.29,3.028,1111.7,10488,9884.2,187.29,176.50,5.935,10/14/2022
-93.52991300,44.07687760,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,52,14.99,4.626,1.000,270.00,1142.1,On,10/14/2022,0.00,4,20.32,16.34,2.762,1050.2,10259,9674.5,183.21,172.76,5.732,10/14/2022
-93.52993060,44.07687780,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,53,14.99,4.593,1.000,272.00,1142.1,On,10/14/2022,0.00,4,20.22,14.38,2.252,924.53,9096.7,8588.6,162.44,153.37,5.692,10/14/2022
-93.52994540,44.07687770,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,54,14.99,3.904,1.000,272.00,1142.1,On,10/14/2022,0.00,4,20.14,11.56,1.880,743.29,8604.0,8131.6,153.64,145.21,4.838,10/14/2022
-93.52995210,44.07687770,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,55,12.01,1.706,1.000,272.00,1142.1,On,10/14/2022,0.00,4,20.11,8.692,1.876,558.78,18482,17474,330.04,312.04,1.693,10/14/2022
-93.52967970,44.07691780,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,56,14.99,2.690,1.000,277.00,1143.2,On,10/14/2022,0.00,6,20.45,4.662,3.032,299.67,5034.1,4739.2,89.89,84.63,3.334,10/14/2022
-93.52969090,44.07691850,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,57,14.99,2.953,1.000,275.00,1143.4,On,10/14/2022,0.00,6,20.62,7.878,2.016,506.43,7751.2,7281.7,138.41,130.03,3.659,10/14/2022
-93.52970440,44.07691930,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,58,14.99,3.543,1.000,274.00,1143.4,On,10/14/2022,0.00,6,20.64,10.49,0.460,674.59,8604.1,8080.7,153.64,144.30,4.391,10/14/2022
-93.52971970,44.07692020,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,59,14.99,4.035,1.000,274.00,1143.0,On,10/14/2022,0.00,6,20.61,12.39,1.224,796.29,8917.8,8378.0,159.25,149.61,5.000,10/14/2022
-93.52973600,44.07692110,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,60,14.99,4.298,1.000,275.00,1142.6,On,10/14/2022,0.00,6,20.52,13.82,1.996,888.55,9343.3,8788.2,166.84,156.93,5.326,10/14/2022
-93.52975230,44.07692150,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,61,14.99,4.265,1.000,273.00,1142.4,On,10/14/2022,0.00,6,20.45,14.84,2.324,953.98,10108,9516.3,180.51,169.93,5.285,10/14/2022
-93.52976850,44.07692170,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,62,14.99,4.232,1.000,272.00,1142.4,On,10/14/2022,0.00,6,20.37,15.57,2.478,1001.1,10690,10074,190.89,179.89,5.244,10/14/2022
-93.52978460,44.07692190,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,63,14.99,4.232,1.000,271.00,1142.4,On,10/14/2022,0.00,6,20.28,16.44,2.494,1056.7,11284,10646,201.50,190.11,5.244,10/14/2022
-93.52980130,44.07692180,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,64,14.99,4.396,1.000,269.00,1142.4,On,10/14/2022,0.00,6,20.21,17.72,2.444,1139.1,11710,11057,209.11,197.45,5.448,10/14/2022
-93.52981860,44.07692140,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,65,14.99,4.528,1.000,269.00,1142.3,On,10/14/2022,0.00,6,20.05,18.93,2.430,1217.0,12148,11494,216.93,205.25,5.610,10/14/2022
-93.52983610,44.07692110,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,66,14.99,4.593,1.000,269.00,1142.2,On,10/14/2022,0.00,6,19.89,19.43,2.464,1249.1,12290,11652,219.46,208.07,5.692,10/14/2022
-93.52985330,44.07692080,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,67,14.99,4.495,1.000,269.00,1142.1,On,10/14/2022,0.00,6,19.80,19.26,2.454,1237.9,12447,11813,222.27,210.95,5.570,10/14/2022
-93.52987040,44.07692060,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,68,14.99,4.495,1.000,270.00,1142.1,On,10/14/2022,0.00,6,19.79,19.08,2.436,1226.8,12335,11709,220.27,209.09,5.570,10/14/2022
-93.52988760,44.07692040,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,69,14.99,4.495,1.000,270.00,1142.1,On,10/14/2022,0.00,6,19.79,19.16,2.464,1231.4,12381,11753,221.10,209.87,5.570,10/14/2022
-93.52990440,44.07692020,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,70,14.99,4.429,1.000,270.00,1142.1,On,10/14/2022,0.00,6,19.79,18.95,2.432,1218.3,12431,11800,221.99,210.72,5.488,10/14/2022
-93.52992110,44.07692000,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,71,14.99,4.364,1.000,270.00,1142.1,On,10/14/2022,0.00,6,19.80,17.80,2.454,1144.4,11852,11249,211.65,200.88,5.407,10/14/2022
-93.52993770,44.07691960,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,72,14.99,4.364,1.000,269.00,1142.2,On,10/14/2022,0.00,6,19.80,15.23,2.426,978.84,10138,9622.3,181.03,171.83,5.407,10/14/2022
-93.52995200,44.07691940,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,73,14.99,3.740,1.000,270.00,1142.1,On,10/14/2022,0.00,6,19.75,11.84,2.370,760.96,9194.9,8732.0,164.19,155.93,4.635,10/14/2022
-93.52975870,44.07693970,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,74,14.99,4.921,1.000,359.00,1142.5,On,10/14/2022,0.00,6,20.42,13.79,3.428,886.58,8141.8,7667.7,145.39,136.92,6.098,10/14/2022
-93.52975880,44.07695310,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,75,14.99,4.888,1.000,360.00,1142.7,On,10/14/2022,0.00,6,20.52,16.57,3.422,1065.2,9847.8,9262.3,175.85,165.40,6.057,10/14/2022
-93.52975940,44.07696670,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,76,14.99,4.987,1.000,359.00,1142.5,On,10/14/2022,0.00,6,20.73,18.89,3.454,1214.4,11005,10324,196.52,184.37,6.179,10/14/2022
-93.52975970,44.07698020,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,77,14.99,4.921,1.000,359.00,1142.7,On,10/14/2022,0.00,6,20.88,20.46,3.480,1315.2,12077,11309,215.67,201.94,6.098,10/14/2022
-93.52976000,44.07699370,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,78,14.99,4.921,1.000,360.00,1142.7,On,10/14/2022,0.00,6,20.95,21.18,3.440,1361.6,12504,11698,223.29,208.89,6.098,10/14/2022
-93.52976020,44.07700730,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,79,14.99,4.987,1.000,360.00,1142.7,On,10/14/2022,0.00,6,20.98,21.32,3.554,1370.8,12423,11618,221.83,207.46,6.179,10/14/2022
-93.52976040,44.07702110,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,80,14.99,5.052,1.000,360.00,1142.7,On,10/14/2022,0.00,6,20.99,21.39,3.552,1375.4,12302,11503,219.68,205.40,6.261,10/14/2022
-93.52976030,44.07703490,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,81,14.99,5.052,1.000,359.00,1142.8,On,10/14/2022,0.00,6,21.05,21.47,3.538,1379.9,12343,11532,220.41,205.94,6.261,10/14/2022
-93.52976060,44.07704880,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,82,14.99,5.085,1.000,359.00,1143.0,On,10/14/2022,0.00,6,21.10,21.63,3.552,1390.4,12357,11538,220.65,206.03,6.301,10/14/2022
-93.52976080,44.07706290,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,83,14.99,5.118,1.000,359.00,1143.0,On,10/14/2022,0.00,6,21.18,22.07,3.550,1418.5,12526,11684,223.67,208.63,6.342,10/14/2022
-93.52976100,44.07707700,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,84,14.99,5.151,1.000,359.00,1143.0,On,10/14/2022,0.00,6,21.32,22.89,3.532,1471.5,12911,12021,230.55,214.66,6.383,10/14/2022
-93.52976140,44.07709110,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,85,14.99,5.184,1.000,360.00,1143.0,On,10/14/2022,0.00,6,21.42,23.83,3.576,1531.7,13354,12418,238.47,221.75,6.423,10/14/2022
-93.52976130,44.07710500,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,86,14.99,5.052,1.000,360.00,1143.0,On,10/14/2022,0.00,6,21.52,24.45,3.564,1571.6,14058,13057,251.03,233.16,6.261,10/14/2022
-93.52976170,44.07711910,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,87,14.99,5.151,1.000,360.00,1143.0,On,10/14/2022,0.00,6,21.58,24.63,3.538,1583.4,13893,12893,248.08,230.23,6.383,10/14/2022
-93.52976190,44.07713300,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,88,14.99,5.085,1.000,359.00,1143.2,On,10/14/2022,0.00,6,21.60,24.58,3.554,1580.1,14043,13028,250.76,232.65,6.301,10/14/2022
-93.52976190,44.07714710,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,89,14.99,5.151,1.000,360.00,1143.2,On,10/14/2022,0.00,6,21.54,24.45,3.582,1571.6,13789,12804,246.24,228.64,6.383,10/14/2022
-93.52976180,44.07716090,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,90,14.99,5.020,1.000,360.00,1143.4,On,10/14/2022,0.00,6,21.48,24.16,3.514,1553.3,13985,12995,249.73,232.06,6.220,10/14/2022
-93.52976140,44.07717460,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,91,14.99,5.020,1.000,1.000,1143.4,On,10/14/2022,0.00,6,21.45,23.63,3.568,1519.3,13679,12715,244.26,227.06,6.220,10/14/2022
-93.52976130,44.07718840,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,92,14.99,5.020,1.000,360.00,1143.6,On,10/14/2022,0.00,6,21.46,23.30,3.548,1497.7,13484,12534,240.79,223.82,6.220,10/14/2022
-93.52976120,44.07720240,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,93,14.99,5.118,1.000,360.00,1143.7,On,10/14/2022,0.00,6,21.48,23.56,3.542,1514.7,13375,12429,238.84,221.95,6.342,10/14/2022
-93.52976160,44.07721660,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,94,14.99,5.184,1.000,360.00,1143.7,On,10/14/2022,0.00,6,21.56,24.21,3.558,1556.6,13571,12598,242.34,224.96,6.423,10/14/2022
-93.52976180,44.07723080,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,95,14.99,5.184,1.000,359.00,1143.7,On,10/14/2022,0.00,6,21.65,24.74,3.550,1590.6,13867,12858,247.63,229.60,6.423,10/14/2022
-93.52976210,44.07724510,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,96,14.99,5.217,1.000,359.00,1143.7,On,10/14/2022,0.00,6,21.71,24.95,3.556,1603.7,13894,12873,248.10,229.87,6.464,10/14/2022
-93.52976240,44.07725940,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,97,14.99,5.184,1.000,359.00,1143.8,On,10/14/2022,0.00,6,21.76,25.06,3.544,1610.9,14044,13004,250.79,232.21,6.423,10/14/2022
-93.52976240,44.07727350,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,98,14.99,5.151,1.000,360.00,1144.0,On,10/14/2022,0.00,6,21.80,25.35,3.550,1629.9,14300,13235,255.36,236.33,6.383,10/14/2022
-93.52976240,44.07728780,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,99,14.99,5.217,1.000,360.00,1144.0,On,10/14/2022,0.00,6,21.84,25.84,3.532,1661.3,14392,13312,257.01,237.72,6.464,10/14/2022
-93.52976210,44.07730210,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,100,14.99,5.249,1.000,360.00,1144.0,On,10/14/2022,0.00,6,21.90,25.99,3.550,1671.1,14387,13297,256.91,237.45,6.505,10/14/2022
-93.52976210,44.07731660,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,101,14.99,5.282,1.000,360.00,1144.0,On,10/14/2022,0.00,6,21.94,25.70,3.508,1652.1,14135,13057,252.42,233.17,6.545,10/14/2022
-93.52976270,44.07733110,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,102,14.99,5.315,1.000,360.00,1144.1,On,10/14/2022,0.00,6,21.95,25.48,3.524,1637.7,13926,12863,248.67,229.69,6.586,10/14/2022
-93.52976320,44.07734550,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,103,14.99,5.249,1.000,359.00,1144.4,On,10/14/2022,0.00,6,21.95,25.60,3.538,1645.6,14167,13086,252.99,233.68,6.505,10/14/2022
-93.52976370,44.07735970,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,104,14.99,5.184,1.000,359.00,1144.4,On,10/14/2022,0.00,6,21.98,25.95,3.538,1668.5,14546,13430,259.76,239.83,6.423,10/14/2022
-93.52976480,44.07737410,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,105,14.99,5.282,1.000,359.00,1144.3,On,10/14/2022,0.00,6,22.09,26.33,3.528,1692.7,14482,13353,258.61,238.45,6.545,10/14/2022
-93.52976480,44.07738840,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,106,14.99,5.217,1.000,360.00,1144.4,On,10/14/2022,0.00,6,22.18,26.58,3.564,1708.4,14801,13631,264.30,243.42,6.464,10/14/2022
-93.52976490,44.07740270,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,107,14.99,5.217,1.000,360.00,1144.4,On,10/14/2022,0.00,6,22.15,26.78,3.528,1721.5,14914,13741,266.32,245.37,6.464,10/14/2022
