,Longitude,Latitude,Dataset,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Pass Num,Moisture(%),Crop Flw(M)(lb/s),Speed(mph),Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date,Plot
42,-93.5297545,44.0768794,harvest_1_Corn_2022_10_14_000,43,14.99,4.692,1.0,272.0,1142.1,4,20.83,19.16,3.238,1231.4,11862.0,11114.0,211.82,198.46,5.813,10/14/2022,1146
43,-93.5297716,44.0768794,harvest_1_Corn_2022_10_14_000,44,14.99,4.462,1.0,271.0,1142.3,4,20.76,20.23,3.452,1300.8,13175.0,12355.0,235.27,220.62,5.529,10/14/2022,1115
44,-93.5297885,44.076879,harvest_1_Corn_2022_10_14_000,45,14.99,4.429,1.0,270.0,1142.4,4,20.66,20.77,3.464,1335.4,13626.0,12794.0,243.33,228.46,5.488,10/14/2022,1115
45,-93.5298057,44.076879,harvest_1_Corn_2022_10_14_000,46,14.99,4.528,1.0,271.0,1142.4,4,20.6,20.85,3.474,1340.7,13382.0,12575.0,238.97,224.55,5.61,10/14/2022,1084
46,-93.5298231,44.076879,harvest_1_Corn_2022_10_14_000,47,14.99,4.593,1.0,271.0,1142.1,4,20.53,20.43,3.472,1313.2,12921.0,12151.0,230.73,216.98,5.692,10/14/2022,1084
47,-93.529841,44.0768788,harvest_1_Corn_2022_10_14_000,48,14.99,4.692,1.0,271.0,1142.1,4,20.48,19.41,3.446,1247.8,12019.0,11311.0,214.63,201.98,5.813,10/14/2022,1053
48,-93.5298589,44.0768783,harvest_1_Corn_2022_10_14_000,49,14.99,4.724,1.0,268.0,1142.1,4,20.43,18.33,3.406,1178.4,11273.0,10615.0,201.29,189.55,5.854,10/14/2022,1053
49,-93.5298771,44.0768779,harvest_1_Corn_2022_10_14_000,50,14.99,4.79,1.0,268.0,1142.1,4,20.39,17.68,3.09,1136.5,10723.0,10103.0,191.48,180.41,5.935,10/14/2022,1053
50,-93.5298954,44.0768778,harvest_1_Corn_2022_10_14_000,51,14.99,4.79,1.0,269.0,1141.9,4,20.37,17.29,3.028,1111.7,10488.0,9884.2,187.29,176.5,5.935,10/14/2022,1022
51,-93.529913,44.0768776,harvest_1_Corn_2022_10_14_000,52,14.99,4.626,1.0,270.0,1142.1,4,20.32,16.34,2.762,1050.2,10259.0,9674.5,183.21,172.76,5.732,10/14/2022,1022
52,-93.5299306,44.0768778,harvest_1_Corn_2022_10_14_000,53,14.99,4.593,1.0,272.0,1142.1,4,20.22,14.38,2.252,924.53,9096.7,8588.6,162.44,153.37,5.692,10/14/2022,991
53,-93.5299454,44.0768777,harvest_1_Corn_2022_10_14_000,54,14.99,3.904,1.0,272.0,1142.1,4,20.14,11.56,1.88,743.29,8604.0,8131.6,153.64,145.21,4.838,10/14/2022,991
54,-93.5299521,44.0768777,harvest_1_Corn_2022_10_14_000,55,12.01,1.706,1.0,272.0,1142.1,4,20.11,8.692,1.876,558.78,18482.0,17474.0,330.04,312.04,1.693,10/14/2022,991
55,-93.5296797,44.0769178,harvest_1_Corn_2022_10_14_000,56,14.99,2.69,1.0,277.0,1143.2,6,20.45,4.662,3.032,299.67,5034.1,4739.2,89.89,84.63,3.334,10/14/2022,-1
56,-93.5296909,44.0769185,harvest_1_Corn_2022_10_14_000,57,14.99,2.953,1.0,275.0,1143.4,6,20.62,7.878,2.016,506.43,7751.2,7281.7,138.41,130.03,3.659,10/14/2022,-1
57,-93.5297044,44.0769193,harvest_1_Corn_2022_10_14_000,58,14.99,3.543,1.0,274.0,1143.4,6,20.64,10.49,0.46,674.59,8604.1,8080.7,153.64,144.3,4.391,10/14/2022,-1
58,-93.5297197,44.0769202,harvest_1_Corn_2022_10_14_000,59,14.99,4.035,1.0,274.0,1143.0,6,20.61,12.39,1.224,796.29,8917.8,8378.0,159.25,149.61,5.0,10/14/2022,-1
59,-93.529736,44.0769211,harvest_1_Corn_2022_10_14_000,60,14.99,4.298,1.0,275.0,1142.6,6,20.52,13.82,1.996,888.55,9343.3,8788.2,166.84,156.93,5.326,10/14/2022,1145
60,-93.5297523,44.0769215,harvest_1_Corn_2022_10_14_000,61,14.99,4.265,1.0,273.0,1142.4,6,20.45,14.84,2.324,953.98,10108.0,9516.3,180.51,169.93,5.285,10/14/2022,1145
61,-93.5297685,44.0769217,harvest_1_Corn_2022_10_14_000,62,14.99,4.232,1.0,272.0,1142.4,6,20.37,15.57,2.478,1001.1,10690.0,10074.0,190.89,179.89,5.244,10/14/2022,1114
62,-93.5297846,44.0769219,harvest_1_Corn_2022_10_14_000,63,14.99,4.232,1.0,271.0,1142.4,6,20.28,16.44,2.494,1056.7,11284.0,10646.0,201.5,190.11,5.244,10/14/2022,1114
63,-93.5298013,44.0769218,harvest_1_Corn_2022_10_14_000,64,14.99,4.396,1.0,269.0,1142.4,6,20.21,17.72,2.444,1139.1,11710.0,11057.0,209.11,197.45,5.448,10/14/2022,1114
64,-93.5298186,44.0769214,harvest_1_Corn_2022_10_14_000,65,14.99,4.528,1.0,269.0,1142.3,6,20.05,18.93,2.43,1217.0,12148.0,11494.0,216.93,205.25,5.61,10/14/2022,1083
65,-93.5298361,44.0769211,harvest_1_Corn_2022_10_14_000,66,14.99,4.593,1.0,269.0,1142.2,6,19.89,19.43,2.464,1249.1,12290.0,11652.0,219.46,208.07,5.692,10/14/2022,1083
66,-93.5298533,44.0769208,harvest_1_Corn_2022_10_14_000,67,14.99,4.495,1.0,269.0,1142.1,6,19.8,19.26,2.454,1237.9,12447.0,11813.0,222.27,210.95,5.57,10/14/2022,1052
67,-93.5298704,44.0769206,harvest_1_Corn_2022_10_14_000,68,14.99,4.495,1.0,270.0,1142.1,6,19.79,19.08,2.436,1226.8,12335.0,11709.0,220.27,209.09,5.57,10/14/2022,1052
68,-93.5298876,44.0769204,harvest_1_Corn_2022_10_14_000,69,14.99,4.495,1.0,270.0,1142.1,6,19.79,19.16,2.464,1231.4,12381.0,11753.0,221.1,209.87,5.57,10/14/2022,1021
69,-93.5299044,44.0769202,harvest_1_Corn_2022_10_14_000,70,14.99,4.429,1.0,270.0,1142.1,6,19.79,18.95,2.432,1218.3,12431.0,11800.0,221.99,210.72,5.488,10/14/2022,1021
70,-93.5299211,44.07692,harvest_1_Corn_2022_10_14_000,71,14.99,4.364,1.0,270.0,1142.1,6,19.8,17.8,2.454,1144.4,11852.0,11249.0,211.65,200.88,5.407,10/14/2022,990
71,-93.5299377,44.0769196,harvest_1_Corn_2022_10_14_000,72,14.99,4.364,1.0,269.0,1142.2,6,19.8,15.23,2.426,978.84,10138.0,9622.3,181.03,171.83,5.407,10/14/2022,990
72,-93.529952,44.0769194,harvest_1_Corn_2022_10_14_000,73,14.99,3.74,1.0,270.0,1142.1,6,19.75,11.84,2.37,760.96,9194.9,8732.0,164.19,155.93,4.635,10/14/2022,990
73,-93.5297587,44.0769397,harvest_1_Corn_2022_10_14_000,74,14.99,4.921,1.0,359.0,1142.5,6,20.42,13.79,3.428,886.58,8141.8,7667.7,145.39,136.92,6.098,10/14/2022,1145
74,-93.5297588,44.0769531,harvest_1_Corn_2022_10_14_000,75,14.99,4.888,1.0,360.0,1142.7,6,20.52,16.57,3.422,1065.2,9847.8,9262.3,175.85,165.4,6.057,10/14/2022,1145
75,-93.5297594,44.0769667,harvest_1_Corn_2022_10_14_000,76,14.99,4.987,1.0,359.0,1142.5,6,20.73,18.89,3.454,1214.4,11005.0,10324.0,196.52,184.37,6.179,10/14/2022,1144
76,-93.5297597,44.0769802,harvest_1_Corn_2022_10_14_000,77,14.99,4.921,1.0,359.0,1142.7,6,20.88,20.46,3.48,1315.2,12077.0,11309.0,215.67,201.94,6.098,10/14/2022,1144
77,-93.52976,44.0769937,harvest_1_Corn_2022_10_14_000,78,14.99,4.921,1.0,360.0,1142.7,6,20.95,21.18,3.44,1361.6,12504.0,11698.0,223.29,208.89,6.098,10/14/2022,1143
78,-93.5297602,44.0770073,harvest_1_Corn_2022_10_14_000,79,14.99,4.987,1.0,360.0,1142.7,6,20.98,21.32,3.554,1370.8,12423.0,11618.0,221.83,207.46,6.179,10/14/2022,1143
79,-93.5297604,44.0770211,harvest_1_Corn_2022_10_14_000,80,14.99,5.052,1.0,360.0,1142.7,6,20.99,21.39,3.552,1375.4,12302.0,11503.0,219.68,205.4,6.261,10/14/2022,1143
80,-93.5297603,44.0770349,harvest_1_Corn_2022_10_14_000,81,14.99,5.052,1.0,359.0,1142.8,6,21.05,21.47,3.538,1379.9,12343.0,11532.0,220.41,205.94,6.261,10/14/2022,1142
81,-93.5297606,44.0770488,harvest_1_Corn_2022_10_14_000,82,14.99,5.085,1.0,359.0,1143.0,6,21.1,21.63,3.552,1390.4,12357.0,11538.0,220.65,206.03,6.301,10/14/2022,1142
82,-93.5297608,44.0770629,harvest_1_Corn_2022_10_14_000,83,14.99,5.118,1.0,359.0,1143.0,6,21.18,22.07,3.55,1418.5,12526.0,11684.0,223.67,208.63,6.342,10/14/2022,1142
83,-93.529761,44.077077,harvest_1_Corn_2022_10_14_000,84,14.99,5.151,1.0,359.0,1143.0,6,21.32,22.89,3.532,1471.5,12911.0,12021.0,230.55,214.66,6.383,10/14/2022,1141
84,-93.5297614,44.0770911,harvest_1_Corn_2022_10_14_000,85,14.99,5.184,1.0,360.0,1143.0,6,21.42,23.83,3.576,1531.7,13354.0,12418.0,238.47,221.75,6.423,10/14/2022,1141
85,-93.5297613,44.077105,harvest_1_Corn_2022_10_14_000,86,14.99,5.052,1.0,360.0,1143.0,6,21.52,24.45,3.564,1571.6,14058.0,13057.0,251.03,233.16,6.261,10/14/2022,1141
86,-93.5297617,44.0771191,harvest_1_Corn_2022_10_14_000,87,14.99,5.151,1.0,360.0,1143.0,6,21.58,24.63,3.538,1583.4,13893.0,12893.0,248.08,230.23,6.383,10/14/2022,1140
87,-93.5297619,44.077133,harvest_1_Corn_2022_10_14_000,88,14.99,5.085,1.0,359.0,1143.2,6,21.6,24.58,3.554,1580.1,14043.0,13028.0,250.76,232.65,6.301,10/14/2022,1140
88,-93.5297619,44.0771471,harvest_1_Corn_2022_10_14_000,89,14.99,5.151,1.0,360.0,1143.2,6,21.54,24.45,3.582,1571.6,13789.0,12804.0,246.24,228.64,6.383,10/14/2022,1140
89,-93.5297618,44.0771609,harvest_1_Corn_2022_10_14_000,90,14.99,5.02,1.0,360.0,1143.4,6,21.48,24.16,3.514,1553.3,13985.0,12995.0,249.73,232.06,6.22,10/14/2022,1139
90,-93.5297614,44.0771746,harvest_1_Corn_2022_10_14_000,91,14.99,5.02,1.0,1.0,1143.4,6,21.45,23.63,3.568,1519.3,13679.0,12715.0,244.26,227.06,6.22,10/14/2022,1139
91,-93.5297613,44.0771884,harvest_1_Corn_2022_10_14_000,92,14.99,5.02,1.0,360.0,1143.6,6,21.46,23.3,3.548,1497.7,13484.0,12534.0,240.79,223.82,6.22,10/14/2022,1138
92,-93.5297612,44.0772024,harvest_1_Corn_2022_10_14_000,93,14.99,5.118,1.0,360.0,1143.7,6,21.48,23.56,3.542,1514.7,13375.0,12429.0,238.84,221.95,6.342,10/14/2022,1138
93,-93.5297616,44.0772166,harvest_1_Corn_2022_10_14_000,94,14.99,5.184,1.0,360.0,1143.7,6,21.56,24.21,3.558,1556.6,13571.0,12598.0,242.34,224.96,6.423,10/14/2022,1138
94,-93.5297618,44.0772308,harvest_1_Corn_2022_10_14_000,95,14.99,5.184,1.0,359.0,1143.7,6,21.65,24.74,3.55,1590.6,13867.0,12858.0,247.63,229.6,6.423,10/14/2022,1137
95,-93.5297621,44.0772451,harvest_1_Corn_2022_10_14_000,96,14.99,5.217,1.0,359.0,1143.7,6,21.71,24.95,3.556,1603.7,13894.0,12873.0,248.1,229.87,6.464,10/14/2022,1137
96,-93.5297624,44.0772594,harvest_1_Corn_2022_10_14_000,97,14.99,5.184,1.0,359.0,1143.8,6,21.76,25.06,3.544,1610.9,14044.0,13004.0,250.79,232.21,6.423,10/14/2022,1137
97,-93.5297624,44.0772735,harvest_1_Corn_2022_10_14_000,98,14.99,5.151,1.0,360.0,1144.0,6,21.8,25.35,3.55,1629.9,14300.0,13235.0,255.36,236.33,6.383,10/14/2022,1136
98,-93.5297624,44.0772878,harvest_1_Corn_2022_10_14_000,99,14.99,5.217,1.0,360.0,1144.0,6,21.84,25.84,3.532,1661.3,14392.0,13312.0,257.01,237.72,6.464,10/14/2022,1136
99,-93.5297621,44.0773021,harvest_1_Corn_2022_10_14_000,100,14.99,5.249,1.0,360.0,1144.0,6,21.9,25.99,3.55,1671.1,14387.0,13297.0,256.91,237.45,6.505,10/14/2022,1136
100,-93.5297621,44.0773166,harvest_1_Corn_2022_10_14_000,101,14.99,5.282,1.0,360.0,1144.0,6,21.94,25.7,3.508,1652.1,14135.0,13057.0,252.42,233.17,6.545,10/14/2022,1135
101,-93.5297627,44.0773311,harvest_1_Corn_2022_10_14_000,102,14.99,5.315,1.0,360.0,1144.1,6,21.95,25.48,3.524,1637.7,13926.0,12863.0,248.67,229.69,6.586,10/14/2022,1135
102,-93.5297632,44.0773455,harvest_1_Corn_2022_10_14_000,103,14.99,5.249,1.0,359.0,1144.4,6,21.95,25.6,3.538,1645.6,14167.0,13086.0,252.99,233.68,6.505,10/14/2022,1103
103,-93.5297637,44.0773597,harvest_1_Corn_2022_10_14_000,104,14.99,5.184,1.0,359.0,1144.4,6,21.98,25.95,3.538,1668.5,14546.0,13430.0,259.76,239.83,6.423,10/14/2022,1103
104,-93.5297648,44.0773741,harvest_1_Corn_2022_10_14_000,105,14.99,5.282,1.0,359.0,1144.3,6,22.09,26.33,3.528,1692.7,14482.0,13353.0,258.61,238.45,6.545,10/14/2022,1103
105,-93.5297648,44.0773884,harvest_1_Corn_2022_10_14_000,106,14.99,5.217,1.0,360.0,1144.4,6,22.18,26.58,3.564,1708.4,14801.0,13631.0,264.3,243.42,6.464,10/14/2022,1102
106,-93.5297649,44.0774027,harvest_1_Corn_2022_10_14_000,107,14.99,5.217,1.0,360.0,1144.4,6,22.15,26.78,3.528,1721.5,14914.0,13741.0,266.32,245.37,6.464,10/14/2022,1102
107,-93.5297647,44.077417,harvest_1_Corn_2022_10_14_000,108,14.99,5.217,1.0,1.0,1144.4,6,22.06,27.21,3.53,1749.0,15152.0,13976.0,270.57,249.58,6.464,10/14/2022,1102
108,-93.5297652,44.0774313,harvest_1_Corn_2022_10_14_000,109,14.99,5.217,1.0,360.0,1144.4,6,22.0,27.69,3.548,1780.4,15424.0,14237.0,275.43,254.24,6.464,10/14/2022,1101
109,-93.5297655,44.0774456,harvest_1_Corn_2022_10_14_000,110,14.99,5.249,1.0,360.0,1144.7,6,21.99,28.0,3.536,1800.0,15497.0,14307.0,276.73,255.47,6.505,10/14/2022,1101
110,-93.5297659,44.07746,harvest_1_Corn_2022_10_14_000,111,14.99,5.249,1.0,360.0,1144.7,6,22.0,28.16,3.526,1810.5,15587.0,14388.0,278.34,256.93,6.505,10/14/2022,1101
111,-93.5297663,44.0774744,harvest_1_Corn_2022_10_14_000,112,14.99,5.249,1.0,360.0,1144.7,6,21.96,28.15,3.53,1809.8,15581.0,14390.0,278.24,256.96,6.505,10/14/2022,1100
112,-93.5297666,44.0774889,harvest_1_Corn_2022_10_14_000,113,14.99,5.282,1.0,360.0,1144.7,6,21.83,28.07,3.534,1804.6,15440.0,14283.0,275.71,255.05,6.545,10/14/2022,1100
113,-93.529767,44.0775032,harvest_1_Corn_2022_10_14_000,114,14.99,5.217,1.0,359.0,1144.8,6,21.73,27.99,3.534,1799.3,15589.0,14438.0,278.37,257.83,6.464,10/14/2022,1099
114,-93.5297672,44.0775174,harvest_1_Corn_2022_10_14_000,115,14.99,5.184,1.0,360.0,1144.9,6,21.59,28.07,3.574,1804.6,15733.0,14598.0,280.94,260.68,6.423,10/14/2022,1099
115,-93.5297674,44.0775317,harvest_1_Corn_2022_10_14_000,116,14.99,5.184,1.0,360.0,1145.0,6,21.45,28.08,3.568,1805.2,15739.0,14630.0,281.05,261.25,6.423,10/14/2022,1099
116,-93.5297675,44.0775458,harvest_1_Corn_2022_10_14_000,117,14.99,5.151,1.0,360.0,1145.0,6,21.38,28.01,3.526,1800.6,15799.0,14700.0,282.12,262.49,6.383,10/14/2022,1098
117,-93.5297676,44.0775602,harvest_1_Corn_2022_10_14_000,118,14.99,5.249,1.0,360.0,1145.0,6,21.41,27.93,3.544,1795.4,15457.0,14376.0,276.02,256.72,6.505,10/14/2022,1098
118,-93.5297678,44.0775745,harvest_1_Corn_2022_10_14_000,119,14.99,5.249,1.0,360.0,1145.0,6,21.44,27.93,3.526,1795.4,15457.0,14371.0,276.02,256.62,6.505,10/14/2022,1098
119,-93.5297677,44.0775888,harvest_1_Corn_2022_10_14_000,120,14.99,5.217,1.0,360.0,1145.1,6,21.46,28.18,3.54,1811.8,15696.0,14590.0,280.29,260.53,6.464,10/14/2022,1097
120,-93.5297677,44.0776029,harvest_1_Corn_2022_10_14_000,121,14.99,5.151,1.0,360.0,1145.3,6,21.47,28.7,3.578,1845.1,16189.0,15045.0,289.09,268.66,6.383,10/14/2022,1097
121,-93.529768,44.0776171,harvest_1_Corn_2022_10_14_000,122,14.99,5.184,1.0,360.0,1145.3,6,21.47,28.99,3.544,1863.5,16246.0,15098.0,290.11,269.61,6.423,10/14/2022,1096
122,-93.5297681,44.0776314,harvest_1_Corn_2022_10_14_000,123,14.99,5.184,1.0,360.0,1145.4,6,21.47,28.87,3.532,1855.6,16178.0,15035.0,288.89,268.48,6.423,10/14/2022,1096
123,-93.5297684,44.0776456,harvest_1_Corn_2022_10_14_000,124,14.99,5.217,1.0,359.0,1145.7,6,21.47,28.77,3.566,1849.7,16025.0,14893.0,286.16,265.94,6.464,10/14/2022,1096
124,-93.529769,44.0776601,harvest_1_Corn_2022_10_14_000,125,14.99,5.282,1.0,359.0,1145.7,6,21.44,28.78,3.548,1850.4,15832.0,14718.0,282.71,262.82,6.545,10/14/2022,1095
125,-93.5297698,44.0776744,harvest_1_Corn_2022_10_14_000,126,14.99,5.217,1.0,358.0,1145.7,6,21.36,28.69,3.568,1844.5,15980.0,14871.0,285.35,265.56,6.464,10/14/2022,1095
